team,games,win,draw,loss,prizes,href_key
Anonymo Esports,97,45,0,52,22019,anonymo-esports
passions,4,1,0,3,22000,passions
Tainted Minds,26,14,0,12,21262,tainted-minds
FCDB Esports,8,3,0,5,21000,fcdb-esports-1
Team Renewal,8,3,0,5,20000,team-renewal
Bravado Gaming,22,14,0,8,20000,bravado-gaming
FURIA Esports Female,9,6,0,3,20000,furia-esports-fe
G2 Esports 2vs2,6,5,0,1,20000,g2-esports-2vs23893
Invictus Gaming,13,3,0,10,20000,invictus-gaming-cs
O Plano,17,7,0,10,20000,o-plano
SMASH Esports,53,29,0,24,20000,smash-esports
Team Ancient,21,8,0,13,20000,team-ancient
Аргентина,10,4,0,6,19813,13
DETONA Gaming,21,8,0,13,19420,detona-gaming
Copenhagen Wolves,109,43,16,50,19250,cphwolves-csgo
dreamScape,9,6,0,3,19000,dreamscape6440
Legacy eSports,8,2,0,6,18431,legacy-esports
Epsilon Gaming,181,84,6,91,18000,clan-mystik-cs-go
Team Canada,9,5,0,4,17660,team-canada590
Izako Boars,96,32,0,64,17096,izako-boars
Team Unique,102,49,0,53,16500,unique4829
Double Poney,59,32,0,27,16500,dbl-poney
EXTREMUM,47,20,0,27,16500,extremum
Team Empire,27,12,0,15,16075,empire-csgo
Nexus Gaming,122,49,0,73,16000,nexus-gaming1367
Echo Fox,72,33,0,39,16000,echo-fox-csgo
subtLe,21,5,0,16,16000,subtle8394
WRTP,7,7,0,0,15750,wrtp
Party Astronauts,26,8,0,18,15700,party-astronauts
Rebels,10,5,0,5,15500,rebels5484
Lyngby Vikings,53,22,0,31,15300,lyngby-vikings
Vox Eminor,21,9,2,10,15137,vox-eminor1248
Eclipse,25,7,0,18,15000,eclipse-cs
Astralis Talent,39,13,0,26,15000,astralis-talent
ECSTATIC,38,17,0,21,15000,ecstatic
RES Gaming,7,5,0,2,14750,res-gaming
AGF Esport,51,20,0,31,14748,agf-esport
Bravos Gaming,12,10,0,2,14456,bravos-gaming
Faith Gaming,9,4,0,5,14086,faith-gaming-cs-go
